"Date","Time","Open","High","Low","Close","Vol","OI"
11/17/1999,17:00,124.14,124.14,124.14,124.14,0,0
11/18/1999,17:00,125.33,125.33,125.33,125.33,0,0
11/19/1999,17:00,127.96,127.96,127.96,127.96,0,0
11/22/1999,17:00,123.93,123.93,123.93,123.93,0,0
11/23/1999,17:00,121.30,121.30,121.30,121.30,0,0
11/24/1999,17:00,121.18,121.18,121.18,121.18,0,0
11/26/1999,17:00,121.65,121.65,121.65,121.65,0,0
11/29/1999,17:00,120.37,120.37,120.37,120.37,0,0
11/30/1999,17:00,118.96,118.96,118.96,118.96,0,0
12/01/1999,17:00,119.07,119.07,119.07,119.07,0,0
12/02/1999,17:00,117.33,117.33,117.33,117.33,0,0
12/03/1999,17:00,115.47,115.47,115.47,115.47,0,0
12/06/1999,17:00,117.36,117.36,117.36,117.36,0,0
