Date, Time, Open, High, Low, Close, Volume, AvgExp, AvgExp, %K, %D, ROC, ZeroLine, RSI, OverBot, OverSld, ACCUMULATION_DISTRIBUTION, MACD, MACDAvg, MACDDiff, ZeroLine, WILLIAMS_R, HIGH_PRICE_ACCELERATION, DISPARITY_5, DISPARITY_10
2/21/2011,16:00:00,1342.25,1342.5,1329,1330,250772,1326.82,1283.52,93.08,94.15,3.28,0,64.06,70,30,-0.04,16.42,15.61,0.8,0,37.68,-0.04,99.7,100.17
2/22/2011,16:00:00,1328.5,1334.5,1310.25,1314,3011860,1324.49,1284.72,78.35,92.4,2.12,0,53.68,70,30,0.19,14.39,15.37,-0.98,0,84.06,-0.66,98.68,99.02
2/23/2011,16:00:00,1312.5,1320.5,1297.5,1306.5,3065264,1321.22,1285.57,52.35,87.9,1.02,0,49.62,70,30,0.28,12.03,14.7,-2.67,0,80.22,-1.74,98.51,98.54
2/24/2011,16:00:00,1307,1310.75,1292.5,1302.5,2874329,1317.82,1286.24,30.94,81,0.58,0,47.55,70,30,0.23,9.73,13.71,-3.98,0,80.2,-2.48,98.73,98.33
2/25/2011,16:00:00,1303.25,1320,1303.25,1318.75,1802222,1317.99,1287.51,33.61,74.43,3.8,0,55.63,70,30,1.04,9.11,12.79,-3.68,0,48.02,-1.77,100.33,99.62
2/28/2011,16:00:00,1318.25,1329,1313,1326.5,1926072,1319.53,1289.04,46.37,69.1,3.43,0,58.89,70,30,0.64,9.14,12.06,-2.92,0,32.67,-1.09,100.98,100.2
3/1/2011,16:00:00,1326.5,1336.5,1298,1298.25,3054690,1315.66,1289.4,43.56,63.51,-0.31,0,45.72,70,30,0.26,6.81,11.01,-4.2,0,88.61,-0.5,99.07,98.27
3/2/2011,16:00:00,1297.75,1313.75,1296.25,1305.75,2645736,1313.86,1290.04,34.98,56.79,0.42,0,48.98,70,30,0.89,5.5,9.91,-4.41,0,73.76,-2.24,99.65,99.05
3/3/2011,16:00:00,1305.5,1332,1305,1329.5,2337347,1316.71,1291.59,36.96,50.02,1.99,0,57.66,70,30,0.97,6.31,9.19,-2.88,0,26,-0.84,101.05,100.91
3/4/2011,16:00:00,1329.75,1334.5,1311.25,1320,2918341,1317.3,1292.7,51.32,45.38,0.96,0,53.72,70,30,0.22,6.11,8.57,-2.46,0,37.5,-0.65,100.3,100.37
3/7/2011,16:00:00,1320.25,1327.25,1302.75,1309.75,2677381,1315.93,1293.37,53.96,42.67,-0.36,0,49.78,70,30,0.3,5.07,7.87,-2.8,0,60.8,-1.19,99.78,99.74
3/8/2011,16:00:00,1310,1325.75,1306,1320.25,2095451,1316.72,1294.43,47.85,42.17,-0.08,0,53.54,70,30,0.81,5.03,7.3,-2.27,0,36.93,-1.3,100.24,100.49
3/9/2011,16:00:00,1320.25,1325,1311.5,1315.75,1974873,1316.54,1295.26,45.05,43.74,-0.19,0,51.75,70,30,0.35,4.59,6.76,-2.17,0,51.55,-1.36,99.75,100.08
3/10/2011,16:00:00,1315.5,1317.25,1292.25,1294.25,2012405,1312.49,1295.22,34.93,43.89,-1.54,0,44.15,70,30,0.06,2.47,5.9,-3.43,0,95.48,-1.95,98.65,98.51
3/11/2011,16:00:00,1294.75,1308.75,1283,1306.5,735809,1311.4,1295.67,30.33,42.11,-1.58,0,48.77,70,30,0.56,1.76,5.07,-3.31,0,56.07,-2.58,99.79,99.53
3/14/2011,16:00:00,1298.5,1300.75,1281,1291.25,2364243,1307.74,1295.49,21.57,39.66,-2.62,0,43.9,70,30,-0.29,-0.03,4.05,-4.08,0,80.84,-3.17,98.9,98.63
3/15/2011,16:00:00,1291.25,1293.25,1251,1274.25,3528945,1301.65,1294.66,28.43,38.93,-3.92,0,39.21,70,30,0.05,-2.79,2.69,-5.47,0,72.16,-3.74,98.29,97.51
3/16/2011,16:00:00,1274.5,1283.5,1243.25,1253,4118525,1292.8,1293.03,18.46,36.88,-6.02,0,34.27,70,30,0.23,-6.61,0.83,-7.44,0,89.32,-4.45,97.6,96.28
3/17/2011,16:00:00,1248,1274.5,1241.25,1268.25,2662735,1288.34,1292.05,21.9,33.61,-5.2,0,40.1,70,30,0.65,-8.32,-1,-7.32,0,68.6,-5.11,99.19,97.91
3/18/2011,16:00:00,1269,1287.5,1261.5,1274.5,2275163,1285.82,1291.37,24.67,30.35,-5.1,0,42.36,70,30,0.74,-9.06,-2.62,-6.45,0,60.65,-4.1,100.18,98.74
3/21/2011,16:00:00,1276.25,1296.25,1274.75,1292.25,1486926,1286.99,1291.4,38.93,29.36,-2.84,0,48.31,70,30,1.01,-8.12,-3.72,-4.41,0,39.1,-3,101.56,100.25
3/22/2011,16:00:00,1292.5,1296.5,1287.5,1288.5,1436172,1287.27,1291.29,46.34,29.51,-1.94,0,47.2,70,30,0.47,-7.6,-4.49,-3.1,0,37.83,-3,101.04,100.21
